City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2016-04-09,36.44,0.0,7.07,17.76,9.59,14.99,9.59,16.66,0.0,225.0
Ahmedabad,2016-04-10,36.44,0.0,7.07,17.76,9.59,14.99,9.59,16.66,0.0,236.0
Ahmedabad,2016-04-11,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-04-12,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-01,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-02,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-03,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-04,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-05,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-06,135.85099999999997,0.0,12.78,66.19,7.51,35.0,7.51,20.66,0.0,361.0
Ahmedabad,2016-05-07,54.25,0.0,2.78,1.42,8.11,18.46,8.11,10.89,0.0,207.0
Ahmedabad,2016-05-08,33.93,0.0,13.41,19.54,5.06,6.16,5.06,16.13,0.0,234.0
Ahmedabad,2016-05-09,33.83,0.0,7.82,17.93,10.14,13.9,10.14,18.27,0.0,241.0
Ahmedabad,2016-05-10,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-05-11,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-05-12,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-01,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-02,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-03,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-04,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-05,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-06,30.48,0.0,7.43,18.79,16.49,6.38,16.49,23.91,0.0,241.0
Ahmedabad,2016-06-07,49.04,0.0,1.65,1.44,7.38,15.33,7.38,9.03,0.0,169.0
Ahmedabad,2016-06-08,49.04,0.0,1.65,1.44,7.38,15.33,7.38,9.03,0.0,169.0
Ahmedabad,2016-06-09,34.23,0.0,7.14,18.76,10.17,13.79,10.17,17.3,0.0,237.0
Ahmedabad,2016-06-10,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
Ahmedabad,2016-06-11,75.06,0.0,6.35,19.31,14.78,6.0,14.78,21.13,0.0,301.0
